Dim1,Dim2,Dataset
1.876253178,-3.894958368,Endothelial cell_Tm4sf1 high(Uterus)
2.841625979,-4.26118361,Endothelial cell_Tm4sf1 high(Uterus)
1.83747225,-3.971631399,Endothelial cell_Tm4sf1 high(Uterus)
3.337488701,-3.893755784,Endothelial cell_Tm4sf1 high(Uterus)
2.318400194,-4.203200212,Endothelial cell_Tm4sf1 high(Uterus)
3.309724858,-4.127863279,Endothelial cell_Tm4sf1 high(Uterus)
0.462803533,-3.172482362,Endothelial cell_Tm4sf1 high(Uterus)
2.60113745,-4.326103559,Endothelial cell_Tm4sf1 high(Uterus)
2.738387396,-4.06042706,Endothelial cell_Tm4sf1 high(Uterus)
3.628285458,-4.205807557,Endothelial cell_Tm4sf1 high(Uterus)
2.396354248,-4.254471174,Endothelial cell_Tm4sf1 high(Uterus)
2.530821373,-4.531032911,Endothelial cell_Tm4sf1 high(Uterus)
2.453107407,-4.118398061,Endothelial cell_Tm4sf1 high(Uterus)
2.16040044,-4.204311242,Endothelial cell_Tm4sf1 high(Uterus)
3.863419583,-3.438512674,Endothelial cell_Tm4sf1 high(Uterus)
2.877686789,-4.445278039,Endothelial cell_Tm4sf1 high(Uterus)
2.668268492,-4.533575883,Endothelial cell_Tm4sf1 high(Uterus)
2.246510794,-3.812015882,Endothelial cell_Tm4sf1 high(Uterus)
4.427112152,-3.64492189,Endothelial cell_Tm4sf1 high(Uterus)
3.565559914,-3.923293462,Endothelial cell_Tm4sf1 high(Uterus)
2.580768635,-4.500147214,Endothelial cell_Tm4sf1 high(Uterus)
2.967151453,-4.494329801,Endothelial cell_Tm4sf1 high(Uterus)
1.789919665,-3.913042894,Endothelial cell_Tm4sf1 high(Uterus)
1.752661755,-3.843993059,Endothelial cell_Tm4sf1 high(Uterus)
3.066702893,-4.56356751,Endothelial cell_Tm4sf1 high(Uterus)
1.805258801,-4.023825517,Endothelial cell_Tm4sf1 high(Uterus)
2.900054743,-4.428249708,Endothelial cell_Tm4sf1 high(Uterus)
3.867674401,-3.689471832,Endothelial cell_Tm4sf1 high(Uterus)
3.748799851,-3.654847732,Endothelial cell_Tm4sf1 high(Uterus)
2.419266512,-4.300922742,Endothelial cell_Tm4sf1 high(Uterus)
2.142825892,-3.997029176,Endothelial cell_Tm4sf1 high(Uterus)
-1.339015911,-4.994758001,Stromal cell_Hsd11b2 high(Uterus)
-1.647426675,-6.2797259,Stromal cell_Hsd11b2 high(Uterus)
-1.340205262,-4.342938295,Stromal cell_Hsd11b2 high(Uterus)
-1.528207133,-5.169113984,Stromal cell_Hsd11b2 high(Uterus)
-1.703215192,-6.118300786,Stromal cell_Hsd11b2 high(Uterus)
-1.3326192,-5.881428113,Stromal cell_Hsd11b2 high(Uterus)
-1.694597194,-6.203326574,Stromal cell_Hsd11b2 high(Uterus)
-2.054249356,-6.110880723,Stromal cell_Hsd11b2 high(Uterus)
-0.549263636,-6.464835515,Stromal cell_Hsd11b2 high(Uterus)
