Dim1,Dim2,Dataset
-4.600022273,1.992954651,Glandular epithelium_Sprr2f high(Uterus)
-3.095022874,1.651955882,Glandular epithelium_Sprr2f high(Uterus)
-3.133492904,1.598583618,Glandular epithelium_Sprr2f high(Uterus)
6.116086049,-4.767835221,Glandular epithelium_Sprr2f high(Uterus)
-3.007023292,1.491778055,Glandular epithelium_Sprr2f high(Uterus)
-3.474188762,2.115746895,Glandular epithelium_Sprr2f high(Uterus)
-0.793584483,-3.753017506,Macrophage(Uterus)
-1.612563806,-3.55856522,Macrophage(Uterus)
-1.183421688,-3.398771843,Macrophage(Uterus)
-0.67495157,-4.677568039,Macrophage(Uterus)
-1.145517068,-4.365671715,Macrophage(Uterus)
-1.497770386,-4.148413262,Macrophage(Uterus)
-1.305670219,-3.507336935,Macrophage(Uterus)
-1.674990135,-4.233866295,Macrophage(Uterus)
-1.220369296,-4.129378876,Macrophage(Uterus)
-1.484500485,-3.715903839,Macrophage(Uterus)
-1.388938384,-4.374567589,Macrophage(Uterus)
-1.513712125,-3.398882946,Macrophage(Uterus)
-0.99070503,-4.688958725,Macrophage(Uterus)
-1.239097076,-3.423087916,Macrophage(Uterus)
-1.387579995,-4.089475235,Macrophage(Uterus)
-0.997962671,-4.725155434,Macrophage(Uterus)
-1.236745911,-3.49324902,Macrophage(Uterus)
-0.944434004,-3.683116755,Macrophage(Uterus)
-1.270636397,-4.353547177,Macrophage(Uterus)
-1.494212466,-3.915085396,Macrophage(Uterus)
-1.241602378,-4.31124886,Macrophage(Uterus)
-1.317044096,-4.398584446,Macrophage(Uterus)
-0.901670413,-4.375739655,Macrophage(Uterus)
-1.238421278,-3.055885395,Macrophage(Uterus)
-1.219093996,-3.561175665,Macrophage(Uterus)
-1.274636465,-4.583126148,Macrophage(Uterus)
-1.926965194,-4.330718598,Macrophage(Uterus)
-1.106585102,-2.992610058,Macrophage(Uterus)
-1.081001001,-4.462442955,Macrophage(Uterus)
-0.878392594,-4.280817112,Macrophage(Uterus)
-1.168651181,-4.725904068,Macrophage(Uterus)
-0.945130485,-3.199724039,Macrophage(Uterus)
-1.332379299,-4.492967686,Macrophage(Uterus)
-0.883921223,-4.940921387,Macrophage(Uterus)
-1.166107135,-4.203852734,Macrophage(Uterus)
-1.525764304,-4.349582276,Macrophage(Uterus)
-1.38652082,-3.635128817,Macrophage(Uterus)
-1.786463933,-3.970889649,Macrophage(Uterus)
-1.393750267,-3.593241533,Macrophage(Uterus)
-0.652749257,-4.082626423,Macrophage(Uterus)
-1.059201317,-4.477433285,Macrophage(Uterus)
-1.524400311,-3.516843876,Macrophage(Uterus)
-1.313925343,-4.292656264,Macrophage(Uterus)
-1.560662108,-4.256573757,Macrophage(Uterus)
-1.40119596,-3.414430699,Macrophage(Uterus)
-1.078271227,-3.366940102,Macrophage(Uterus)
-1.252029734,-4.463091931,Macrophage(Uterus)
-2.180474954,-3.681363424,Macrophage(Uterus)
-0.546786266,-5.040759644,Macrophage(Uterus)
-1.220827656,-4.147783598,Macrophage(Uterus)
-6.347291904,-6.442945561,NK cell(Uterus)
-5.731337028,-6.027270397,NK cell(Uterus)
-5.590515571,-6.112960419,NK cell(Uterus)
-5.124160724,-8.36816605,NK cell(Uterus)
-5.871346908,-5.88105019,NK cell(Uterus)
5.22668652,7.712992588,NK cell(Uterus)
-5.466337638,-5.755979141,NK cell(Uterus)
-6.324556308,-6.078592381,NK cell(Uterus)
-6.119073348,-6.058473667,NK cell(Uterus)
-3.758003431,-7.655913433,NK cell(Uterus)
-4.968190628,-6.284883103,NK cell(Uterus)
-5.008717018,-7.450829586,NK cell(Uterus)
4.709066433,7.411048809,NK cell(Uterus)
-5.562714057,-5.701377949,NK cell(Uterus)
-5.377939659,-5.778084835,NK cell(Uterus)
-5.490444618,-6.273848137,NK cell(Uterus)
-5.705141979,-5.780086121,NK cell(Uterus)
-5.971836048,-5.935939392,NK cell(Uterus)
-5.808649497,-5.883523068,NK cell(Uterus)
-6.939377742,-6.894130787,NK cell(Uterus)
-5.57386108,-5.68537291,NK cell(Uterus)
-4.150885063,-7.446316323,NK cell(Uterus)
-5.306103187,-5.874106964,NK cell(Uterus)
-0.120001549,-7.174295029,NK cell(Uterus)
-6.897495704,-6.512729725,NK cell(Uterus)
-4.136926608,-8.162649712,NK cell(Uterus)
-3.697913604,-8.637083134,NK cell(Uterus)
-5.804431873,-5.904505333,NK cell(Uterus)
-6.278250175,-6.040686688,NK cell(Uterus)
-5.468563037,-5.627552113,NK cell(Uterus)
-5.867391544,-5.973343453,NK cell(Uterus)
-6.025377708,-6.05763205,NK cell(Uterus)
-5.343399482,-6.386203846,NK cell(Uterus)
-6.650443988,-6.363250813,NK cell(Uterus)
-4.386194187,-5.628778538,NK cell(Uterus)
-5.452593284,-6.247852883,NK cell(Uterus)
-5.401463943,-6.298275074,NK cell(Uterus)
5.355954213,7.421237388,NK cell(Uterus)
-5.950144725,-6.115042767,NK cell(Uterus)
-6.116884189,-5.876826843,NK cell(Uterus)
-3.343948322,-8.855355343,NK cell(Uterus)
-6.2907023,-6.321622452,NK cell(Uterus)
-5.188518959,-8.078221878,NK cell(Uterus)
-6.096040683,-6.459555706,NK cell(Uterus)
-5.326540428,-8.212892136,NK cell(Uterus)
-5.553993659,-8.098995766,NK cell(Uterus)
-4.336046176,-6.687165817,NK cell(Uterus)
-4.294789749,-6.00817593,NK cell(Uterus)
-5.791173416,-5.808334431,NK cell(Uterus)
-5.424820381,-5.731770119,NK cell(Uterus)
6.52962975,8.065565029,Muscle cell_Mgp high(Uterus)
6.735755963,8.463028827,Muscle cell_Mgp high(Uterus)
6.454509778,8.634027401,Muscle cell_Mgp high(Uterus)
6.504605813,8.581560055,Muscle cell_Mgp high(Uterus)
6.713316006,8.253440777,Muscle cell_Mgp high(Uterus)
5.805921597,8.926161686,Muscle cell_Mgp high(Uterus)
6.305151982,8.747358242,Muscle cell_Mgp high(Uterus)
6.022929711,8.573541561,Muscle cell_Mgp high(Uterus)
6.555827183,8.688216129,Muscle cell_Mgp high(Uterus)
6.49574141,8.323956409,Muscle cell_Mgp high(Uterus)
6.910974068,9.08418552,Muscle cell_Mgp high(Uterus)
6.032448334,7.824788013,Muscle cell_Mgp high(Uterus)
5.579386277,8.783754268,Muscle cell_Mgp high(Uterus)
6.451555295,9.417437473,Muscle cell_Mgp high(Uterus)
7.046024842,8.002222935,Muscle cell_Mgp high(Uterus)
6.347917122,8.813692966,Muscle cell_Mgp high(Uterus)
6.415347142,8.847298542,Muscle cell_Mgp high(Uterus)
6.856808228,8.455099979,Muscle cell_Mgp high(Uterus)
6.821197552,8.266858974,Muscle cell_Mgp high(Uterus)
6.465324921,8.633317867,Muscle cell_Mgp high(Uterus)
6.494775338,7.443182388,Muscle cell_Mgp high(Uterus)
5.507893605,8.603728214,Muscle cell_Mgp high(Uterus)
6.973144574,8.189806858,Muscle cell_Mgp high(Uterus)
6.392875714,8.539240757,Muscle cell_Mgp high(Uterus)
