a,TSNE_1,TSNE_2,X,
137,X15.26,-8.385701251,3.202258941,Epithelialcell_Krt20high(Stomach)
138,X31.26,-8.413505483,3.12096675,Epithelialcell_Krt20high(Stomach)
139,X33.26,-8.409687372,3.167367274,Epithelialcell_Krt20high(Stomach)
140,X47.26,-8.329781631,3.034868434,Epithelialcell_Krt20high(Stomach)
141,X48.26,-8.394577419,3.276834267,Epithelialcell_Krt20high(Stomach)
142,X4.27,-8.529035731,3.313910275,Pitcell_Ifrd1high(Stomach)
143,X9.27,-8.71742985,3.381388985,Pitcell_Ifrd1high(Stomach)
144,X19.27,-8.605043541,3.311329884,Pitcell_Ifrd1high(Stomach)
145,X27.27,-8.485584794,3.370979244,Pitcell_Ifrd1high(Stomach)
146,X3.29,-8.545089757,3.274741278,Stomachcell_Muc5achigh(Stomach)
147,X7.29,-8.725727846,2.982599255,Stomachcell_Muc5achigh(Stomach)
148,X31.29,-8.440366625,3.210608576,Stomachcell_Muc5achigh(Stomach)
149,X37.29,-8.564067675,3.232305704,Stomachcell_Muc5achigh(Stomach)
150,X43.29,-8.698157067,3.015862883,Stomachcell_Muc5achigh(Stomach)
151,X49.29,-8.183158641,3.143866688,Stomachcell_Muc5achigh(Stomach)
152,X3.30,-8.087714454,2.708650271,Stomachcell_Mt2high(Stomach)
153,X20.30,-8.716507906,3.010653779,Stomachcell_Mt2high(Stomach)
154,X26.30,-8.143515141,2.925553767,Stomachcell_Mt2high(Stomach)
155,X28.30,-7.982203167,2.950843625,Stomachcell_Mt2high(Stomach)
156,X32.30,-8.538479109,3.054766001,Stomachcell_Mt2high(Stomach)
157,X12.31,-7.610352581,2.94515321,Parietalcell(Stomach)
158,X33.31,-7.530199115,2.829342114,Parietalcell(Stomach)
159,X43.31,-7.633016324,2.912677879,Parietalcell(Stomach)
160,V950,1.054627345,-4.919549172,macrophage_mouse
161,X0.33,0.288570135,-4.727689329,Tcell(Spleen)
162,X1.32,-0.137053113,-4.643445156,Tcell(Spleen)
163,X3.32,-4.074942514,-3.32853253,Tcell(Spleen)
164,X15.32,-3.932015546,-3.284946059,Tcell(Spleen)
165,X18.32,-3.042303212,-2.604309716,Tcell(Spleen)
166,X37.32,-3.3465326,-3.01243018,Tcell(Spleen)
167,V3816,-3.08881844,-2.939888326,macrophage_mouse
168,X0.34,-3.229690253,-2.654646422,MarginalzoneBcell(Spleen)
169,X3.33,0.741845239,-4.73435816,MarginalzoneBcell(Spleen)
170,X5.33,-3.098489589,-2.644706103,MarginalzoneBcell(Spleen)
171,X26.33,-2.943148992,-2.517549416,MarginalzoneBcell(Spleen)
172,X12.34,-9.144804246,4.293977451,Epitheliumofsmallintestinalvilli_Fabp1high(Small-Intestine)
173,X16.34,-9.137362793,4.234400387,Epitheliumofsmallintestinalvilli_Fabp1high(Small-Intestine)
174,X18.34,-9.155009393,4.251514619,Epitheliumofsmallintestinalvilli_Fabp1high(Small-Intestine)
175,X7.35,-7.666462184,3.379697284,Epithelialcell_Kcne3high(Small-Intestine)
176,X22.35,-7.802216216,3.494138256,Epithelialcell_Kcne3high(Small-Intestine)
177,X3.36,-2.870639809,-2.765737661,Tcell_Ccl5high(Small-Intestine)
178,X31.36,-2.965183198,-2.960949055,Tcell_Ccl5high(Small-Intestine)
179,X40.36,-2.762772211,-2.563709892,Tcell_Ccl5high(Small-Intestine)
180,X42.36,-2.888241817,-2.990098439,Tcell_Ccl5high(Small-Intestine)
181,X1.37,-3.093040963,-3.054248223,Tcell_Cd7high(Small-Intestine)
182,X9.37,-3.101774588,-2.973536359,Tcell_Cd7high(Small-Intestine)
183,X16.37,-2.881792261,-2.727885923,Tcell_Cd7high(Small-Intestine)
184,X17.37,-3.099151516,-3.043419004,Tcell_Cd7high(Small-Intestine)
185,X45.37,-0.691398582,-4.38414176,Tcell_Cd7high(Small-Intestine)
186,X1.38,-8.403978298,3.510060037,Columnarepithelium(Small-Intestine)
187,X3.38,-8.315684021,3.51298416,Columnarepithelium(Small-Intestine)
188,X17.38,-8.302581982,3.64000813,Columnarepithelium(Small-Intestine)
189,X19.38,-8.28622749,3.439411378,Columnarepithelium(Small-Intestine)
190,X21.38,-8.27016745,3.377680093,Columnarepithelium(Small-Intestine)
191,X29.38,-7.824271426,3.172957725,Columnarepithelium(Small-Intestine)
192,X10.39,-8.864943598,4.34568645,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine)
193,X13.39,-9.090956761,4.219938474,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine)
194,X15.39,-9.009193736,4.199038602,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine)
195,X17.39,-8.942728417,4.430240646,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine)
196,X30.39,-8.779940166,4.322620919,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine)
197,X31.39,-8.935433092,4.071995253,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine)
198,X36.39,-9.048297123,4.179856826,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine)
199,X41.39,-9.005583981,4.293754623,Epitheliumofsmallintestinalvilli_Fabp6high(Small-Intestine)
200,X6.41,1.537501045,-5.479290703,Macrophage_Spp1high(Placenta)
201,X29.41,1.884288383,-5.577564747,Macrophage_Spp1high(Placenta)
202,V4737,5.584918311,-1.111507278,macrophage_mouse
203,X34.41,5.468175521,-1.311931145,Macrophage_Spp1high(Placenta)
204,X10.44,-0.156251201,-1.828809482,PElineagecell_Gkn2high(Placenta)
205,X20.47,-4.894311249,1.048658028,Invasivespongiotrophoblast(Placenta)
