,0,1,
241,-43.12998,47.99674,Human-Ex Neuron
242,-43.365353,47.839867,Human-Ex Neuron
243,-43.839672,47.947052,Human-Ex Neuron
244,-44.032192,47.96835,Human-Ex Neuron
245,-44.163887,47.905895,Human-Ex Neuron
246,-43.923717,47.31127,Human-Ex Neuron
247,-44.061447,47.16572,Human-Ex Neuron
248,-44.24914,47.128296,Human-Ex Neuron
249,-44.53027,47.321785,Human-Ex Neuron
250,-44.402756,46.50488,Human-Ex Neuron
251,-44.61038,46.65377,Human-Ex Neuron
252,-44.89431,46.89144,Human-Ex Neuron
253,-45.13018,47.01372,Human-Ex Neuron
254,-45.002956,46.26215,Human-Ex Neuron
255,-45.001312,45.9384,Human-Ex Neuron
256,-45.06743,45.710125,Human-Ex Neuron
257,-45.565495,46.196285,Human-Ex Neuron
258,-45.740376,46.117836,Human-Ex Neuron
259,-45.59999,45.56809,Human-Ex Neuron
260,-46.002407,45.809746,Human-Ex Neuron
261,-45.790356,45.271763,Human-Ex Neuron
262,-46.008625,45.232624,Human-Ex Neuron
263,-46.097435,45.07594,Human-Ex Neuron
264,-46.25406,44.963215,Human-Ex Neuron
265,-46.169197,44.715324,Human-Ex Neuron
266,-46.42288,44.638905,Human-Ex Neuron
267,-47.19148,44.846706,Human-Ex Neuron
268,-46.826492,44.420776,Human-Ex Neuron
269,-46.580387,44.100365,Human-Ex Neuron
270,-47.009525,44.087345,Human-Ex Neuron
271,-47.075333,43.908215,Human-Ex Neuron
272,-47.05563,43.71502,Human-Ex Neuron
273,-47.042973,43.480946,Human-Ex Neuron
274,-47.36904,43.44715,Human-Ex Neuron
275,-47.429638,43.263313,Human-Ex Neuron
276,-47.868885,43.331326,Human-Ex Neuron
277,-47.492653,42.8738,Human-Ex Neuron
278,-47.686596,42.810184,Human-Ex Neuron
279,-47.772263,42.640747,Human-Ex Neuron
280,-47.767727,42.40379,Human-Ex Neuron
281,-47.756927,42.145863,Human-Ex Neuron
282,-48.035194,42.13527,Human-Ex Neuron
283,-48.043808,41.94454,Human-Ex Neuron
284,-47.91388,41.639454,Human-Ex Neuron
285,-48.66008,41.71667,Human-Ex Neuron
286,-48.208813,41.39715,Human-Ex Neuron
287,-48.33892,41.28976,Human-Ex Neuron
288,-48.22943,41.004738,Human-Ex Neuron
289,-48.52543,40.97413,Human-Ex Neuron
290,-48.418488,40.69878,Human-Ex Neuron
291,-48.45676,40.510548,Human-Ex Neuron
