,X.comp1,Y.comp1,
234,-4.429935501,-0.079098619,Human-Ex Neuron
235,-8.713924536,-0.079098619,Human-Ex Neuron
236,-6.128987713,-0.079098619,Human-Ex Neuron
237,-5.923560087,-0.079098619,Human-Ex Neuron
238,-7.193291536,-0.079098619,Human-Ex Neuron
239,-7.371671245,-0.079098619,Human-Ex Neuron
240,-6.369820537,-0.079098619,Human-Ex Neuron
241,-6.872644399,-0.079098619,Human-Ex Neuron
242,-0.064860115,-0.079098619,Human-Ex Neuron
243,0.354928924,-0.079098619,Human-Ex Neuron
244,-6.222919987,-0.079098619,Human-Ex Neuron
245,-6.167317238,-0.079098619,Human-Ex Neuron
246,-7.821027687,-0.079098619,Human-Ex Neuron
247,-8.437185441,-0.079098619,Human-Ex Neuron
248,-7.671687409,-0.079098619,Human-Ex Neuron
249,-5.820408607,-0.079098619,Human-Ex Neuron
250,-7.095200114,-0.079098619,Human-Ex Neuron
251,-8.406972052,-0.079098619,Human-Ex Neuron
252,-8.332342035,-0.079098619,Human-Ex Neuron
253,-8.313429691,-0.079098619,Human-Ex Neuron
254,-7.322457201,-0.079098619,Human-Ex Neuron
255,-6.929374043,-0.079098619,Human-Ex Neuron
256,-8.958689949,-0.079098619,Human-Ex Neuron
257,-6.83668309,-0.079098619,Human-Ex Neuron
258,-8.797116419,-0.079098619,Human-Ex Neuron
259,-4.92139371,-0.079098619,Human-Ex Neuron
260,-6.220673361,-0.079098619,Human-Ex Neuron
261,-7.391821824,-0.079098619,Human-Ex Neuron
262,-8.786644533,-0.079098619,Human-Ex Neuron
263,-9.03300751,-0.079098619,Human-Ex Neuron
264,-6.066804302,-0.079098619,Human-Ex Neuron
265,-1.275405416,-0.079098619,Human-Ex Neuron
266,-2.979477504,-0.079098619,Human-Ex Neuron
267,-8.591590432,-0.079098619,Human-Ex Neuron
268,-8.885236877,-0.079098619,Human-Ex Neuron
269,-5.465421046,-0.079098619,Human-Ex Neuron
270,-8.673958163,-0.079098619,Human-Ex Neuron
271,-3.352444104,-0.079098619,Human-Ex Neuron
272,-5.322666123,-0.079098619,Human-Ex Neuron
273,-5.808146101,-0.079098619,Human-Ex Neuron
274,-6.063575342,-0.079098619,Human-Ex Neuron
275,-2.329339472,-0.079098619,Human-Ex Neuron
276,-6.416399057,-0.079098619,Human-Ex Neuron
277,-8.506559421,-0.079098619,Human-Ex Neuron
278,-8.708121107,-0.079098619,Human-Ex Neuron
279,-3.562287867,-0.079098619,Human-Ex Neuron
280,-8.148387995,-0.079098619,Human-Ex Neuron
281,-7.408583622,-0.079098619,Human-Ex Neuron
282,-6.807419497,-0.079098619,Human-Ex Neuron
283,-3.221007171,-0.079098619,Human-Ex Neuron
284,-7.536169602,-0.079098619,Human-Ex Neuron
285,-7.199387007,-0.079098619,Human-Ex Neuron
286,-8.395827819,-0.079098619,Human-Ex Neuron
287,-5.865877007,-0.079098619,Human-Ex Neuron
288,-8.129302908,-0.079098619,Human-Ex Neuron
289,-6.743621808,-0.079098619,Human-Ex Neuron
290,-6.873710636,-0.079098619,Human-Ex Neuron
291,-3.498671407,-0.079098619,Human-Ex Neuron
292,-7.401403319,-0.079098619,Human-Ex Neuron
293,-6.681193613,-0.079098619,Human-Ex Neuron
294,2.094878192,-0.079098619,Human-Ex Neuron
295,-8.757201113,-0.079098619,Human-Ex Neuron
296,-7.116789945,-0.079098619,Human-Ex Neuron
297,-8.886590057,-0.079098619,Human-Ex Neuron
298,-6.372016168,-0.079098619,Human-Ex Neuron
299,-4.313250843,-0.079098619,Human-Ex Neuron
300,-7.342137576,-0.079098619,Human-Ex Neuron
301,-6.557642214,-0.079098619,Human-Ex Neuron
302,-6.481591131,-0.079098619,Human-Ex Neuron
303,-20.62539536,-0.079098619,Human-Ex Neuron
304,-7.522413261,-0.079098619,Human-Ex Neuron
305,-6.801675633,-0.079098619,Human-Ex Neuron
306,-5.882042495,-0.079098619,Human-Ex Neuron
307,1.855707123,-0.079098619,Human-Ex Neuron
308,-8.985714817,-0.079098619,Human-Ex Neuron
309,-3.769476516,-0.079098619,Human-Ex Neuron
310,-1.778684381,-0.079098619,Human-Ex Neuron
311,-3.511102784,-0.079098619,Human-Ex Neuron
312,-5.90555175,-0.079098619,Human-Ex Neuron
313,-4.641467698,-0.079098619,Human-Ex Neuron
314,-8.557778375,-0.079098619,Human-Ex Neuron
315,-7.758685795,-0.079098619,Human-Ex Neuron
316,-6.503947936,-0.079098619,Human-Ex Neuron
317,-2.544888533,-0.079098619,Human-Ex Neuron
318,-7.085026325,-0.079098619,Human-Ex Neuron
319,-7.793591534,-0.079098619,Human-Ex Neuron
320,-0.552051207,-0.079098619,Human-Ex Neuron
321,-6.690361699,-0.079098619,Human-Ex Neuron
322,-7.024374891,-0.079098619,Human-Ex Neuron
323,-4.019191355,-0.079098619,Human-Ex Neuron
324,-4.576392125,-0.079098619,Human-Ex Neuron
325,-4.729932017,-0.079098619,Human-Ex Neuron
326,-8.345771965,-0.079098619,Human-Ex Neuron
327,-6.015766123,-0.079098619,Human-Ex Neuron
328,-1.683309102,-0.079098619,Human-Ex Neuron
329,-2.768203438,-0.079098619,Human-Ex Neuron
330,-6.164931466,-0.079098619,Human-Ex Neuron
331,-7.24328462,-0.079098619,Human-Ex Neuron
332,-7.214268872,-0.079098619,Human-Ex Neuron
333,-5.810944017,-0.079098619,Human-Ex Neuron
334,-4.727907651,-0.079098619,Human-Ex Neuron
335,-8.558515574,-0.079098619,Human-Ex Neuron
336,-6.635482877,-0.079098619,Human-Ex Neuron
337,-8.342312717,-0.079098619,Human-Ex Neuron
338,-7.330160882,-0.079098619,Human-Ex Neuron
339,-4.807177826,-0.079098619,Human-Ex Neuron
340,-7.728970347,-0.079098619,Human-Ex Neuron
341,-5.604011714,-0.079098619,Human-Ex Neuron
342,-8.081149093,-0.079098619,Human-Ex Neuron
343,-8.232628269,-0.079098619,Human-Ex Neuron
344,-6.492747424,-0.079098619,Human-Ex Neuron
345,-6.556197618,-0.079098619,Human-Ex Neuron
346,-5.576061633,-0.079098619,Human-Ex Neuron
347,-8.23609265,-0.079098619,Human-Ex Neuron
348,-6.875802283,-0.079098619,Human-Ex Neuron
349,-7.188454221,-0.079098619,Human-Ex Neuron
350,-7.390399006,-0.079098619,Human-Ex Neuron
351,-8.586325308,-0.079098619,Human-Ex Neuron
352,-8.643467509,-0.079098619,Human-Ex Neuron
353,-7.756640686,-0.079098619,Human-Ex Neuron
354,-8.636253812,-0.079098619,Human-Ex Neuron
355,-7.062194764,-0.079098619,Human-Ex Neuron
356,-3.292995367,-0.079098619,Human-Ex Neuron
357,-6.478825373,-0.079098619,Human-Ex Neuron
358,-6.870891704,-0.079098619,Human-Ex Neuron
359,-5.674133595,-0.079098619,Human-Ex Neuron
360,-7.733350977,-0.079098619,Human-Ex Neuron
361,-5.831485659,-0.079098619,Human-Ex Neuron
362,-7.058523919,-0.079098619,Human-Ex Neuron
363,-2.856158611,-0.079098619,Human-Ex Neuron
364,-6.566497031,-0.079098619,Human-Ex Neuron
365,-6.860672756,-0.079098619,Human-Ex Neuron
366,-7.69206832,-0.079098619,Human-Ex Neuron
367,-7.740736051,-0.079098619,Human-Ex Neuron
368,-6.525069152,-0.079098619,Human-Ex Neuron
369,-7.36051903,-0.079098619,Human-Ex Neuron
370,-6.485154041,-0.079098619,Human-Ex Neuron
371,-8.85087012,-0.079098619,Human-Ex Neuron
372,-8.481013894,-0.079098619,Human-Ex Neuron
373,-5.600032101,-0.079098619,Human-Ex Neuron
374,-3.419126769,-0.079098619,Human-Ex Neuron
375,-5.407987936,-0.079098619,Human-Ex Neuron
376,-6.566436118,-0.079098619,Human-Ex Neuron
377,-4.75604462,-0.079098619,Human-Ex Neuron
378,-3.960403536,-0.079098619,Human-Ex Neuron
379,-6.735664823,-0.079098619,Human-Ex Neuron
380,-6.19003413,-0.079098619,Human-Ex Neuron
381,-8.767677186,-0.079098619,Human-Ex Neuron
382,-8.577018491,-0.079098619,Human-Ex Neuron
383,-7.96377127,-0.079098619,Human-Ex Neuron
384,-8.585527187,-0.079098619,Human-Ex Neuron
385,-8.624228272,-0.079098619,Human-Ex Neuron
386,0.685626361,-0.079098619,Human-Ex Neuron
387,-3.894678865,-0.079098619,Human-Ex Neuron
388,-5.83247767,-0.079098619,Human-Ex Neuron
389,-5.638234598,-0.079098619,Human-Ex Neuron
390,-6.069224271,-0.079098619,Human-Ex Neuron
391,-0.887257165,-0.079098619,Human-Ex Neuron
392,-6.018544038,-0.079098619,Human-Ex Neuron
393,-5.497584028,-0.079098619,Human-Ex Neuron
394,-8.778836976,-0.079098619,Human-Ex Neuron
395,-7.326475607,-0.079098619,Human-Ex Neuron
396,-8.554433102,-0.079098619,Human-Ex Neuron
397,-7.614781797,-0.079098619,Human-Ex Neuron
398,-6.709679122,-0.079098619,Human-Ex Neuron
399,-5.404844877,-0.079098619,Human-Ex Neuron
400,-6.344567547,-0.079098619,Human-Ex Neuron
401,-7.669285178,-0.079098619,Human-Ex Neuron
402,-0.752508121,-0.079098619,Human-Ex Neuron
403,-6.043861741,-0.079098619,Human-Ex Neuron
404,-7.704045107,-0.079098619,Human-Ex Neuron
405,-8.586441847,-0.079098619,Human-Ex Neuron
406,-7.374071418,-0.079098619,Human-Ex Neuron
407,4.442132518,-0.079098619,Human-Ex Neuron
408,-7.04440285,-0.079098619,Human-Ex Neuron
409,-7.446283465,-0.079098619,Human-Ex Neuron
410,-6.501076834,-0.079098619,Human-Ex Neuron
411,-7.897219532,-0.079098619,Human-Ex Neuron
412,-5.102455095,-0.079098619,Human-Ex Neuron
413,-3.639232963,-0.079098619,Human-Ex Neuron
414,-7.6971838,-0.079098619,Human-Ex Neuron
415,-8.504898628,-0.079098619,Human-Ex Neuron
416,-7.229560327,-0.079098619,Human-Ex Neuron
417,-8.788190473,-0.079098619,Human-Ex Neuron
418,-7.577141533,-0.079098619,Human-Ex Neuron
419,-4.968805522,-0.079098619,Human-Ex Neuron
420,-7.565930608,-0.079098619,Human-Ex Neuron
421,-8.592044327,-0.079098619,Human-Ex Neuron
422,-5.117915275,-0.079098619,Human-Ex Neuron
423,-8.245536851,-0.079098619,Human-Ex Neuron
424,-5.57079457,-0.079098619,Human-Ex Neuron
425,-5.942816166,-0.079098619,Human-Ex Neuron
426,-6.476675263,-0.079098619,Human-Ex Neuron
427,-7.006425097,-0.079098619,Human-Ex Neuron
428,-8.11392002,-0.079098619,Human-Ex Neuron
429,-5.177909346,-0.079098619,Human-Ex Neuron
430,-5.571743331,-0.079098619,Human-Ex Neuron
431,-8.465141818,-0.079098619,Human-Ex Neuron
432,-8.544242115,-0.079098619,Human-Ex Neuron
433,-7.172547885,-0.079098619,Human-Ex Neuron
434,-7.77980442,-0.079098619,Human-Ex Neuron
435,-3.609980846,-0.079098619,Human-Ex Neuron
436,-6.850671576,-0.079098619,Human-Ex Neuron
437,-7.651767602,-0.079098619,Human-Ex Neuron
438,-4.851720793,-0.079098619,Human-Ex Neuron
439,-6.792719351,-0.079098619,Human-Ex Neuron
440,-7.929418389,-0.079098619,Human-Ex Neuron
441,-7.430382813,-0.079098619,Human-Ex Neuron
442,-8.39995478,-0.079098619,Human-Ex Neuron
443,-0.540622754,-0.079098619,Human-Ex Neuron
444,-2.143430836,-0.079098619,Human-Ex Neuron
445,-8.478844564,-0.079098619,Human-Ex Neuron
446,-6.713034657,-0.079098619,Human-Ex Neuron
447,-7.891362863,-0.079098619,Human-Ex Neuron
448,-4.04139628,-0.079098619,Human-Ex Neuron
449,-7.820363098,-0.079098619,Human-Ex Neuron
450,4.593384361,-0.079098619,Human-Ex Neuron
451,-0.319976124,-0.079098619,Human-Ex Neuron
452,-2.812103239,-0.079098619,Human-Ex Neuron
453,-6.263180849,-0.079098619,Human-Ex Neuron
454,-8.381296343,-0.079098619,Human-Ex Neuron
455,-6.860925165,-0.079098619,Human-Ex Neuron
456,-7.804281974,-0.079098619,Human-Ex Neuron
457,3.634115534,-0.079098619,Human-Ex Neuron
458,-5.054057307,-0.079098619,Human-Ex Neuron
459,-8.862067835,-0.079098619,Human-Ex Neuron
460,-8.021564326,-0.079098619,Human-Ex Neuron
461,-2.527701709,-0.079098619,Human-Ex Neuron
462,-5.581856246,-0.079098619,Human-Ex Neuron
463,-4.932689392,-0.079098619,Human-Ex Neuron
464,-5.734430637,-0.079098619,Human-Ex Neuron
465,-2.230756973,-0.079098619,Human-Ex Neuron
466,-6.562283676,-0.079098619,Human-Ex Neuron
467,-2.571700432,-0.079098619,Human-Ex Neuron
468,-3.215105952,-0.079098619,Human-Ex Neuron
469,-5.633999372,-0.079098619,Human-Ex Neuron
470,-6.077460672,-0.079098619,Human-Ex Neuron
471,-7.861762933,-0.079098619,Human-Ex Neuron
472,-6.545394513,-0.079098619,Human-Ex Neuron
473,-8.882082563,-0.079098619,Human-Ex Neuron
474,-3.930676375,-0.079098619,Human-Ex Neuron
475,-6.790549106,-0.079098619,Human-Ex Neuron
476,-7.237785131,-0.079098619,Human-Ex Neuron
477,-7.421434055,-0.079098619,Human-Ex Neuron
478,-8.281981822,-0.079098619,Human-Ex Neuron
479,-7.241828093,-0.079098619,Human-Ex Neuron
480,-8.685703549,-0.079098619,Human-Ex Neuron
