,0,1,2,3,4,5,6,7,8,9
88,Epithelial cells,Excitatory neurons,embryo 14,embryo 10,Mid blastocyst cell (92-94h post-fertilization),Epithelial cells,ES_Actb_high(Embryonic-Stem-Cell),Epithelial cells,2-cell embryo,Embryonic stem cell
89,Embryonic stem cell,Connective tissue progenitors,2-cell embryo,Intermediate Mesoderm,epiblast cell,Excitatory neurons,Mid blastocyst cell (92-94h post-fertilization),embryo 9,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell)
90,Connective tissue progenitors,Postmitotic premature neurons,2-cell embryo,epiblast cell,Endothelial cells,embryo 10,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Excitatory neurons,Late blastocyst cell (100-102h post-fertilization)
91,4-cell embryo,embryo 14,Epithelial cells,Postmitotic premature neurons,Early blastocyst cell (86-88h post-fertilization),embryo 7,Oligodendrocyte Progenitors,Postmitotic premature neurons,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell
92,16-cell stage blastomere,8-cell embryo,embryo 7,Postmitotic premature neurons,Epithelial cells,ES_Actb_high(Embryonic-Stem-Cell),Connective tissue progenitors,Intermediate Mesoderm,epiblast cell,Embryonic stem cell
93,Embryonic stem cell,embryo 10,Epithelial cells,4-cell embryo,epiblast cell,Postmitotic premature neurons,Excitatory neurons,ES_Nedd4_high(Embryonic-Stem-Cell),ES cell,Postmitotic premature neurons
94,Intermediate Mesoderm,Embryonic stem cell,Excitatory neurons,Excitatory neurons,2-cell embryo,embryo 10,Early blastocyst cell (86-88h post-fertilization),Jaw and tooth progenitors,ES_Actb_high(Embryonic-Stem-Cell),epiblast cell
95,embryo 7,2-cell embryo,Late blastocyst cell (100-102h post-fertilization),Embryonic fibroblast,ES_Actb_high(Embryonic-Stem-Cell),epiblast cell,Excitatory neurons,Excitatory neurons,Excitatory neurons,Excitatory neurons
96,embryo 14,Excitatory neurons,Postmitotic premature neurons,Inhibitory neurons,ES_Actb_high(Embryonic-Stem-Cell),Late blastocyst cell (100-102h post-fertilization),2-cell embryo,Endothelial cells,Embryonic stem cell,embryo 7
97,Intermediate Mesoderm,ES_Actb_high(Embryonic-Stem-Cell),Excitatory neurons,Inhibitory neurons,embryo 14,embryo 10,Mid blastocyst cell (92-94h post-fertilization),,Embryonic stem cell,4-cell embryo
