Dim1 Dim2 Dataset
X18.6 -0.989002146335869 17.632423739006 rna
X19.6 -11.3102764864886 -8.35898556275185 rna
X20.6 -8.92050121030453 -7.98515286011513 rna
X21.6 -2.62987396916988 17.8767989678878 rna
X22.6 3.13681413927433 -2.13267209095772 rna
X23.6 7.80427601137516 0.952216367294233 rna
X24.6 -14.772128560158 -8.21592154068764 rna
X25.6 6.77431490221378 0.0735608144301585 rna
X26.6 22.6250443676984 1.28437409835045 rna
X27.6 -0.0956340809786603 -2.83263792557533 rna
X28.6 8.94804718294498 2.10920319991295 rna
X29.6 -11.3143553515399 -8.3289362387162 rna
X30.6 -9.09068725309017 -8.14770617050942 rna
X31.6 -7.0540418406451 -6.07722057862099 rna
X32.6 9.11852981844303 2.58139667945091 rna
X33.6 -5.27570722303036 -5.54104532761391 rna
X34.6 6.9506378392255 14.8362697167892 rna
X35.6 -5.51481149396542 18.6582587762374 rna
X36.6 0.288184724239083 -2.96706594986733 rna
X37.6 23.2027573803937 1.91528544860069 rna
X38.6 -1.65437207421902 -4.1267091230851 rna
X39.6 -14.8006977816546 -8.03239407105263 rna
X40.6 -0.77979149720314 -4.55656017823036 rna
X41.6 1.82021739282963 -2.10950996441658 rna
X42.6 -6.74780366620663 -6.16380037827309 rna
X43.6 9.76538040438053 3.74720893340294 rna
X44.6 -2.24810836515072 -4.49817242188271 rna
X45.6 -7.30971667966488 -6.12425865692909 rna
X46.6 7.11025812425968 14.9627116723556 rna
X47.6 -5.20478532514217 18.850851397087 rna
X48.6 -5.36057613095882 -5.75541700882729 rna
X49.6 -3.54977319440487 -5.14417566819008 rna
X0.8 -2.88839171132687 -4.94562735123451 rna
X1.7 -10.8029103060687 -8.41734947724159 rna
X2.7 -0.65917591428998 -3.34051837487038 rna
X3.7 23.2948632458722 1.93400869803612 rna
X4.7 0.963620803741188 -2.55268265766915 rna
X5.7 22.8036160687482 1.25677380995933 rna
X6.7 22.6337170819318 1.55526266532127 rna
X7.7 -14.68416545591 -7.93430485291298 rna
X8.7 -9.39467094144466 -8.10620274109657 rna
X9.7 22.9392857770002 1.39589343505089 rna
X10.7 23.606512568382 1.50012789206688 rna
X11.7 -1.61272595128658 -4.50611724419411 rna
X12.7 -3.34671471318844 -5.13169588608559 rna
X13.7 -12.6098742266619 -7.9849592642289 rna
X14.7 23.1146283368146 1.82235727744285 rna
X15.7 6.6323480824506 0.097244183589857 rna
X16.7 -13.4364781161273 -7.81185354752358 rna
X17.7 -1.23953644237164 -3.8467539743882 rna
X18.7 1.6128955105817 -2.12735404534157 rna
X19.7 -13.2830366869891 -7.76019539398964 rna
X20.7 3.40240337648747 -1.93206896347817 rna
X21.7 -0.5859469664717 -3.08023132843788 rna
X22.7 23.0158715466535 1.25964544253532 rna
X23.7 4.01465418138859 -1.70007385773476 rna
X24.7 -2.30273482999447 -5.15646948380287 rna
X25.7 -3.55754921636227 -5.17927660507973 rna
X26.7 22.6556191662824 1.76366625266258 rna
X27.7 9.84720947542545 14.1915124459762 rna
