,0,1,
219,0.140368998,0.567953706,Human-Ex Neuron
220,0.315809369,0.754614949,Human-Ex Neuron
221,0.252142161,0.705008566,Human-Ex Neuron
222,0.167428717,0.599133968,Human-Ex Neuron
223,0.318324953,0.767025113,Human-Ex Neuron
224,0.174883738,0.605092108,Human-Ex Neuron
225,0.225086018,0.636299491,Human-Ex Neuron
226,0.301068485,0.741937876,Human-Ex Neuron
227,0.236443564,0.64908433,Human-Ex Neuron
228,0.184198856,0.610644221,Human-Ex Neuron
229,0.229469895,0.646282554,Human-Ex Neuron
230,0.196683943,0.610060453,Human-Ex Neuron
231,0.148727834,0.576033473,Human-Ex Neuron
232,0.139198631,0.572972,Human-Ex Neuron
233,0.259574711,0.725608408,Human-Ex Neuron
234,0.307660341,0.779796362,Human-Ex Neuron
235,0.302383006,0.745937109,Human-Ex Neuron
236,0.186255559,0.601095021,Human-Ex Neuron
237,0.325166583,0.768531621,Human-Ex Neuron
238,0.15241842,0.579021513,Human-Ex Neuron
239,0.196670383,0.611200869,Human-Ex Neuron
240,0.225536332,0.629389346,Human-Ex Neuron
241,0.237148643,0.672983348,Human-Ex Neuron
242,0.191779107,0.613533735,Human-Ex Neuron
243,0.190922752,0.607918143,Human-Ex Neuron
244,0.164572746,0.586391926,Human-Ex Neuron
245,0.218813851,0.631751478,Human-Ex Neuron
246,0.145089,0.580475867,Human-Ex Neuron
247,0.216119871,0.632328093,Human-Ex Neuron
248,0.142441407,0.566293061,Human-Ex Neuron
249,0.194308251,0.608977139,Human-Ex Neuron
250,0.279884845,0.727932751,Human-Ex Neuron
251,0.137851641,0.5623281,Human-Ex Neuron
252,0.324726999,0.765712023,Human-Ex Neuron
253,0.184635594,0.602627218,Human-Ex Neuron
254,0.319469631,0.756581008,Human-Ex Neuron
255,0.316885531,0.763107955,Human-Ex Neuron
256,0.170223683,0.572025001,Human-Ex Neuron
257,0.319269091,0.789949298,Human-Ex Neuron
258,0.231273979,0.635206223,Human-Ex Neuron
259,0.144730404,0.574824572,Human-Ex Neuron
260,0.215311319,0.631002903,Human-Ex Neuron
261,0.231301099,0.640186667,Human-Ex Neuron
262,0.179352179,0.601735175,Human-Ex Neuron
263,0.311501861,0.752024412,Human-Ex Neuron
264,0.162449315,0.555585623,Human-Ex Neuron
265,0.162975624,0.568289816,Human-Ex Neuron
266,0.170775682,0.59976697,Human-Ex Neuron
267,0.132391244,0.591174722,Human-Ex Neuron
268,0.186970621,0.603848219,Human-Ex Neuron
269,0.294670701,0.734442532,Human-Ex Neuron
270,0.140898168,0.56773746,Human-Ex Neuron
271,0.149760112,0.568717301,Human-Ex Neuron
272,0.158263475,0.573743403,Human-Ex Neuron
273,0.310334355,0.753887773,Human-Ex Neuron
274,0.232344434,0.652070165,Human-Ex Neuron
275,0.306375802,0.777924478,Human-Ex Neuron
276,0.316876262,0.78080833,Human-Ex Neuron
277,0.137690365,0.571137249,Human-Ex Neuron
278,0.165814117,0.642083526,Human-Ex Neuron
279,0.23384878,0.658380151,Human-Ex Neuron
280,0.260887086,0.718942344,Human-Ex Neuron
281,0.133892015,0.575418353,Human-Ex Neuron
282,0.14765203,0.545274973,Human-Ex Neuron
283,0.23193337,0.640181661,Human-Ex Neuron
284,0.237494752,0.678412676,Human-Ex Neuron
