,0,1,
298,35.35426,-29.966002,Human-Ex Neuron
299,0.5336701,10.3416815,Human-Ex Neuron
300,18.057573,-4.733729,Human-Ex Neuron
301,21.576672,-8.794054,Human-Ex Neuron
302,48.791733,-39.84935,Human-Ex Neuron
303,-3.0041595,14.9959955,Human-Ex Neuron
304,18.035257,-2.9671557,Human-Ex Neuron
305,28.63912,-20.909315,Human-Ex Neuron
306,48.86568,-45.347935,Human-Ex Neuron
307,-21.111948,44.413326,Human-Ex Neuron
308,38.118725,-33.034523,Human-Ex Neuron
309,44.63239,-39.839653,Human-Ex Neuron
310,49.758873,-40.438705,Human-Ex Neuron
311,50.376495,-39.33961,Human-Ex Neuron
312,37.022152,-30.771389,Human-Ex Neuron
313,4.113514,8.372706,Human-Ex Neuron
314,7.5143476,3.6464949,Human-Ex Neuron
315,27.332903,-16.88843,Human-Ex Neuron
316,39.47438,-34.509357,Human-Ex Neuron
317,-1.3541275,10.506299,Human-Ex Neuron
318,2.4248722,10.32098,Human-Ex Neuron
319,46.559135,-43.30735,Human-Ex Neuron
320,5.700789,2.8494124,Human-Ex Neuron
321,14.759412,-4.3047113,Human-Ex Neuron
322,37.01253,-32.309067,Human-Ex Neuron
323,32.068165,-26.96677,Human-Ex Neuron
324,35.21129,-30.140522,Human-Ex Neuron
325,-10.2439995,26.562065,Human-Ex Neuron
326,31.923765,-24.928316,Human-Ex Neuron
327,44.025627,-39.87505,Human-Ex Neuron
328,46.762177,-41.763065,Human-Ex Neuron
329,26.559038,-18.534296,Human-Ex Neuron
330,3.546342,7.194889,Human-Ex Neuron
331,5.1519775,3.347167,Human-Ex Neuron
332,28.163244,-20.280762,Human-Ex Neuron
333,38.070213,-32.678085,Human-Ex Neuron
334,-12.006825,30.494358,Human-Ex Neuron
335,10.840166,0.3455294,Human-Ex Neuron
336,-10.321866,29.094852,Human-Ex Neuron
337,1.7255427,9.611763,Human-Ex Neuron
338,44.097195,-39.799797,Human-Ex Neuron
339,5.1045446,7.942271,Human-Ex Neuron
340,32.379585,-26.143318,Human-Ex Neuron
341,-9.272216,26.930302,Human-Ex Neuron
342,-10.962959,30.405922,Human-Ex Neuron
343,24.800749,-14.797866,Human-Ex Neuron
344,13.786576,-3.2539856,Human-Ex Neuron
345,27.338736,-19.715437,Human-Ex Neuron
346,-21.84083,42.959965,Human-Ex Neuron
347,12.399769,-1.9700211,Human-Ex Neuron
348,13.041117,-2.7939513,Human-Ex Neuron
349,-4.855684,17.824993,Human-Ex Neuron
350,-13.142041,32.03856,Human-Ex Neuron
351,-13.740857,31.992342,Human-Ex Neuron
352,-5.7516994,21.532965,Human-Ex Neuron
353,-17.14936,36.869164,Human-Ex Neuron
354,-0.46848047,9.42788,Human-Ex Neuron
355,37.740894,-34.663628,Human-Ex Neuron
356,12.913263,-1.0061156,Human-Ex Neuron
357,7.293226,-1.7650368,Human-Ex Neuron
358,14.036749,-5.6019406,Human-Ex Neuron
359,7.593169,3.1926491,Human-Ex Neuron
360,19.673515,-4.9478416,Human-Ex Neuron
361,6.8967466,4.164858,Human-Ex Neuron
362,43.410637,-39.082542,Human-Ex Neuron
363,22.208624,-13.643162,Human-Ex Neuron
364,22.29526,-10.724262,Human-Ex Neuron
365,2.402559,6.387302,Human-Ex Neuron
366,-11.924949,31.295242,Human-Ex Neuron
367,17.75882,-8.079652,Human-Ex Neuron
368,10.684249,-1.4215946,Human-Ex Neuron
369,16.051868,-5.2061577,Human-Ex Neuron
370,-10.134907,28.332476,Human-Ex Neuron
371,-4.6274614,21.316912,Human-Ex Neuron
372,24.070211,-10.457431,Human-Ex Neuron
373,35.058376,-28.289904,Human-Ex Neuron
374,24.000841,-12.662274,Human-Ex Neuron
375,10.569227,-4.068772,Human-Ex Neuron
376,50.080338,-39.765198,Human-Ex Neuron
377,33.975895,-24.25428,Human-Ex Neuron
378,23.187109,-12.088297,Human-Ex Neuron
379,24.025005,-11.953172,Human-Ex Neuron
380,-11.605248,28.79051,Human-Ex Neuron
381,-21.646467,43.938652,Human-Ex Neuron
382,-9.812431,28.675234,Human-Ex Neuron
383,-21.71599,43.58188,Human-Ex Neuron
384,-10.1147785,25.259026,Human-Ex Neuron
385,46.57848,-43.241314,Human-Ex Neuron
386,49.127594,-40.90568,Human-Ex Neuron
387,25.241161,-17.01915,Human-Ex Neuron
388,31.351158,-24.028881,Human-Ex Neuron
389,22.683296,-8.093214,Human-Ex Neuron
390,48.296818,-42.082146,Human-Ex Neuron
391,11.113121,-0.009272336,Human-Ex Neuron
392,26.281351,-16.4288,Human-Ex Neuron
393,-10.432938,30.560493,Human-Ex Neuron
394,4.4070706,7.937394,Human-Ex Neuron
395,-19.714024,40.898968,Human-Ex Neuron
396,7.9747195,2.0275097,Human-Ex Neuron
397,31.011003,-19.308926,Human-Ex Neuron
398,25.116425,-13.406526,Human-Ex Neuron
399,21.270237,-11.94893,Human-Ex Neuron
400,1.0205739,10.353189,Human-Ex Neuron
401,47.3766,-41.034687,Human-Ex Neuron
402,24.90665,-12.176987,Human-Ex Neuron
403,-11.625083,30.964512,Human-Ex Neuron
404,-18.636667,39.235756,Human-Ex Neuron
405,2.1804917,6.7941036,Human-Ex Neuron
406,49.376434,-46.103558,Human-Ex Neuron
407,9.140876,-0.70350397,Human-Ex Neuron
408,3.4317112,6.718248,Human-Ex Neuron
409,21.066767,-9.119411,Human-Ex Neuron
410,-3.5041423,15.87257,Human-Ex Neuron
411,28.600742,-19.75113,Human-Ex Neuron
412,38.180443,-30.913637,Human-Ex Neuron
413,2.5981402,7.450519,Human-Ex Neuron
414,-9.536317,26.880507,Human-Ex Neuron
415,15.957906,-4.284678,Human-Ex Neuron
416,-20.186516,41.504852,Human-Ex Neuron
417,0.5563823,7.325673,Human-Ex Neuron
418,28.5128,-21.882107,Human-Ex Neuron
419,7.341218,1.9160277,Human-Ex Neuron
420,-14.792676,32.85816,Human-Ex Neuron
421,25.499989,-15.289144,Human-Ex Neuron
422,-9.591626,24.608068,Human-Ex Neuron
423,30.526653,-23.982769,Human-Ex Neuron
424,23.819298,-12.06222,Human-Ex Neuron
425,22.280024,-13.616071,Human-Ex Neuron
426,3.197269,8.128202,Human-Ex Neuron
427,-5.087443,21.376675,Human-Ex Neuron
428,35.31421,-29.73817,Human-Ex Neuron
429,28.795095,-17.48843,Human-Ex Neuron
430,-17.132122,36.898373,Human-Ex Neuron
431,-18.245497,38.635662,Human-Ex Neuron
432,10.444078,-3.9170487,Human-Ex Neuron
433,-2.9007292,17.627695,Human-Ex Neuron
434,41.21227,-36.443146,Human-Ex Neuron
435,31.117214,-19.329882,Human-Ex Neuron
436,3.7854924,5.3473916,Human-Ex Neuron
437,31.535168,-24.071608,Human-Ex Neuron
438,7.507421,1.4759146,Human-Ex Neuron
439,-5.710465,18.470745,Human-Ex Neuron
440,2.6276338,11.014601,Human-Ex Neuron
441,-15.383348,33.512066,Human-Ex Neuron
442,48.17265,-45.014896,Human-Ex Neuron
443,44.32702,-39.46184,Human-Ex Neuron
444,-15.312698,32.827045,Human-Ex Neuron
445,18.0106,-5.051432,Human-Ex Neuron
446,-6.8229365,23.106228,Human-Ex Neuron
447,39.57599,-34.670956,Human-Ex Neuron
448,-2.872483,14.961761,Human-Ex Neuron
449,49.05116,-46.414677,Human-Ex Neuron
450,47.873188,-43.444077,Human-Ex Neuron
451,44.11309,-39.537582,Human-Ex Neuron
452,24.132574,-11.460546,Human-Ex Neuron
453,-15.005433,34.15234,Human-Ex Neuron
454,4.4672875,2.8046973,Human-Ex Neuron
455,-5.0653734,21.418724,Human-Ex Neuron
456,49.4636,-45.550713,Human-Ex Neuron
457,33.314373,-25.839376,Human-Ex Neuron
458,-18.028852,38.219635,Human-Ex Neuron
459,-7.2308764,25.890001,Human-Ex Neuron
460,42.490726,-37.756878,Human-Ex Neuron
461,30.890045,-24.206646,Human-Ex Neuron
462,30.535944,-24.69861,Human-Ex Neuron
463,26.721626,-18.681204,Human-Ex Neuron
464,43.819603,-39.90413,Human-Ex Neuron
465,11.096203,-1.8888692,Human-Ex Neuron
466,41.150127,-36.48788,Human-Ex Neuron
467,44.58993,-39.30424,Human-Ex Neuron
468,25.270752,-15.085014,Human-Ex Neuron
469,16.613169,-5.069211,Human-Ex Neuron
470,-2.1749089,13.564131,Human-Ex Neuron
471,17.32542,-7.825534,Human-Ex Neuron
472,-20.914192,44.09242,Human-Ex Neuron
473,33.21376,-26.885597,Human-Ex Neuron
474,14.433447,-1.8081772,Human-Ex Neuron
475,19.159756,-3.594873,Human-Ex Neuron
476,8.6515255,-2.1026816,Human-Ex Neuron
477,-4.827864,21.953037,Human-Ex Neuron
478,-0.6466753,10.460977,Human-Ex Neuron
479,-19.955276,41.761707,Human-Ex Neuron
480,7.4223466,-0.30121535,Human-Ex Neuron
481,-12.532064,29.846508,Human-Ex Neuron
482,1.1276084,7.754105,Human-Ex Neuron
483,22.784475,-8.361183,Human-Ex Neuron
484,-10.520221,30.79651,Human-Ex Neuron
485,33.85417,-24.544022,Human-Ex Neuron
486,34.76779,-27.403358,Human-Ex Neuron
487,34.794167,-30.845036,Human-Ex Neuron
488,44.948357,-40.014248,Human-Ex Neuron
489,39.010086,-35.357445,Human-Ex Neuron
490,37.35886,-33.78903,Human-Ex Neuron
491,47.189434,-43.96679,Human-Ex Neuron
492,36.056793,-32.23126,Human-Ex Neuron
493,30.129856,-23.355793,Human-Ex Neuron
494,23.047066,-12.682396,Human-Ex Neuron
495,27.389406,-20.962385,Human-Ex Neuron
496,6.6576715,1.97834,Human-Ex Neuron
